,productname,nutriscorescore,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g
7139,"Huel Berry - 1,75 k",0,b,1703.0,2.4,1.3,7.8,31.1,0.7
7140,Berrywhitechoc - myMuesli - 85,6,c,1745.0,4.2,12.8,7.8,10.9,0.06
7141,Hummus nature rapide - Alnatura - 60 ,6,c,1513.0,2.2,2.2,7.8,13.0,1.2
7142,Crunchy Müsli Schwarz-Weiß - biozentrale - 375,10,c,1920.0,6.8,20.0,7.8,9.3,0.2
7143,Happy crunch - Bio pionier - 325 ,9,c,1895.0,4.7,24.0,7.8,13.0,0.0
7144,Knusper Müsli - TIP - 750 ,15,d,1930.0,9.8,22.0,7.8,10.0,0.48
7145,Müsli Schoko-nuss ranola - Edeka bio,11,d,1900.0,8.4,15.5,7.8,10.5,0.02
7146,Schweizer Zart Bitter - ut & ünsti - 100 ,21,e,2233.0,19.0,47.6,7.8,5.1,0.01
7147,Of Switzerland FRIOR NOIR CHOCOLAT NOIR FIN FOURRÉ À LA CRÈME DE NOISETTES ET D'AMANDES - Cailler - 100,21,e,2389.0,16.4,44.4,7.8,5.3,0.0
7148,Chocolat noir/ menthe poivrée - Alnatura - 100 ,21,e,2033.0,14.0,56.0,7.8,5.1,0.01
7149,Schokohase Feine Bitter - dm Bio - 75 ,20,e,2456.0,28.0,37.0,7.8,4.9,0.01
7150,Couscous - Casino Bio - 500 ,-6,a,1594.0,0.2,0.8,7.9,9.9,0.01
7151,Strawberry lime muesli - Mymuesli - 575 ,-1,a,1692.0,2.6,11.6,7.9,11.2,0.06
7152,Pumpernickel - Delba - 500,-1,a,837.0,0.2,6.1,7.9,5.5,1.1
7153,Basen-Balance Frühstücksbrei - dmBio,-5,a,1528.0,1.0,7.2,7.9,12.0,0.01
7154,bio-juniormüsli - Holle - 250 ,-5,a,1510.0,0.7,5.9,7.9,10.9,0.003
7155,Datteln - Biobio,2,b,1241.0,0.1,64.0,7.9,2.2,0.01
7156,Hafer Beeren Crunchy - Hammer Mühle - 325 ,2,b,1689.0,7.4,26.6,7.9,8.8,0.1
7157,Erdnuss Creme - ut & ünsti - 350 ,5,c,2513.0,8.9,10.1,7.9,23.7,0.78
7158,Dinkel Flakes - dmBio - 200,7,c,1520.0,0.2,11.0,7.9,13.0,1.4
7159,Multi-fruit - Alnatura - 40 ,3,c,1413.0,3.0,49.0,7.9,5.0,0.05
7160,Oster Muesli - mymuesli - 575 ,6,c,1696.0,4.8,13.5,7.9,11.1,0.1
7161,Hafer Crunchy - dm Bio - 500 ,7,c,1787.0,4.6,17.0,7.9,9.0,0.19
7162,Weißes Mandelmus aus Europa - Rapunzel - 250  e,8,c,2753.0,4.4,4.9,7.9,24.0,0.01
7163,Zartbitter Hafer Crunchy - Alnatura - 375,7,c,1857.0,3.8,20.0,7.9,9.9,0.18
7164,Dijon-Senf - Edeka - 200,7,c,778.0,0.9,2.5,7.9,8.4,5.1
7165,Dinkel Flakes - dmBio - 200 ,7,c,1520.0,0.2,11.0,7.9,13.0,1.4
7166,"Müsli , Hafer Crunchy - Dm bio - 500 ",7,c,1791.0,4.6,17.0,7.9,9.0,0.19
7167,Knusper Müsli Schoko & Mandel - Knusperone - 400 ,12,d,1802.0,6.3,16.0,7.9,11.0,0.74
7168,Pindakaas - Calvé - 350,14,d,2724.0,7.5,10.0,7.9,20.0,0.55
7169,Veane Art ... Leberwurst ... aus Linsen - Hedi Natur - 140,15,d,1180.0,12.0,2.3,7.9,6.1,1.6
7170,Yellow Curry Paste - Flyin oose Brand - 50 ,12,d,1214.0,3.2,5.3,7.9,4.5,7.6
7171,Erdnuss Creme crunchy - American Style - 350 ,15,d,2536.0,8.9,10.1,7.9,23.7,0.77
7172,Erdnüsse uneschält - Markt Ta - 400,11,d,2602.0,7.0,5.1,7.9,27.0,0.5
7173,emüse-Lasane - Kaufland - 400,22,e,2874.0,7.9,13.0,7.9,18.0,3.6
7174,Pennette riate - Barilla - 500 ,-6,a,1452.0,0.5,3.5,8.0,13.0,0.013
7175,Bio Vollkorn Spiralen - Verival Prinzessin Bio - 500 ,-6,a,1524.0,0.6,0.9,8.0,12.0,0.01
7176,Filinchen Das Knusper-Brot - utena - 100 ,-4,a,1606.0,1.0,1.0,8.0,10.0,0.5
7177,Kraft Klotz - Lieken Urkorn - 500 ,-2,a,852.0,0.3,3.5,8.0,5.5,1.1
7178,Squash seeds - Miros Bio - 400 ,-2,a,2300.0,8.0,1.5,8.0,34.0,0.1
7179,Vollkorn Cornflakes - Davert - 250 ,-6,a,1573.0,0.4,1.6,8.0,8.4,0.02
7180,Touche de haricots roues - Bonduelle - 160  / 120  éoutté,-8,a,452.0,0.1,0.8,8.0,7.7,0.22
7181,Interale Wheat Complete Farfalle - Barilla - 500 ,-6,a,1452.0,0.5,3.5,8.0,13.0,0.013
7182,Interale spahetti n.5 - Barilla - 500 ,-6,a,1452.0,0.5,3.5,8.0,13.0,0.013
7183,"Bäuerliches, Kerni & Safti - Lieken",-1,a,807.0,0.2,1.5,8.0,5.5,1.3
7184,Vollkorn mit Sonnenblumenkernen - Harry - 500 ,-3,a,992.0,0.8,3.5,8.0,7.5,1.1
7185,Filinchen Ballaststoff - 75 ,-4,a,1590.0,1.0,1.0,8.0,10.0,0.5
7186,Quinoa & trio - Tipiak - 400,-6,a,1523.0,0.5,2.7,8.0,13.0,0.0
7187,Veetarische Filet Streifen - arden ourmet - 175,-2,a,944.0,1.1,2.1,8.0,24.5,1.3
7188,Knusper Bär - Alnatura - 375 ,-1,a,1602.0,2.6,9.7,8.0,11.0,0.31
